date_time,location_name,vehicle_count,avg_speed,congestion_level,weather_condition
2024-10-28 00:00:00,Kranti Chowk,23,46.30185471086046,Low,Foggy
2024-10-28 00:00:00,CIDCO,18,34.604260989235115,Low,Rain
2024-10-28 00:00:00,Jalna Road,25,47.69219503033927,Low,Cloudy
2024-10-28 00:00:00,Seven Hills,15,45.99498608327806,Low,Cloudy
2024-10-28 00:00:00,Aurangpura,19,45.128668439403945,Low,Cloudy
2024-10-28 00:00:00,Railway Station,29,27.24122937325855,Low,Foggy
2024-10-28 01:00:00,Kranti Chowk,22,44.54763592001361,Low,Clear
2024-10-28 01:00:00,CIDCO,17,38.22267213020539,Low,Foggy
2024-10-28 01:00:00,Jalna Road,31,42.192911662911754,Low,Clear
2024-10-28 01:00:00,Seven Hills,20,46.31423745741828,Low,Clear
2024-10-28 01:00:00,Aurangpura,27,35.3461628574499,Low,Clear
2024-10-28 01:00:00,Railway Station,23,26.110731426855452,Low,Rain
2024-10-28 02:00:00,Kranti Chowk,16,35.05756072762852,Low,Cloudy
2024-10-28 02:00:00,CIDCO,23,45.82978558501523,Low,Foggy
2024-10-28 02:00:00,Jalna Road,25,39.35797475237327,Low,Rain
2024-10-28 02:00:00,Seven Hills,28,51.0922695078797,Low,Cloudy
2024-10-28 02:00:00,Aurangpura,20,27.692787707581054,Low,Clear
2024-10-28 02:00:00,Railway Station,23,44.658978941144674,Low,Rain
2024-10-28 03:00:00,Kranti Chowk,25,38.96992873459324,Low,Foggy
2024-10-28 03:00:00,CIDCO,32,43.51120466694447,Low,Clear
2024-10-28 03:00:00,Jalna Road,27,39.646859519699,Low,Rain
2024-10-28 03:00:00,Seven Hills,33,54.06444443557702,Low,Foggy
2024-10-28 03:00:00,Aurangpura,22,28.026768879381557,Low,Rain
2024-10-28 03:00:00,Railway Station,30,48.52376557345323,Low,Clear
2024-10-28 04:00:00,Kranti Chowk,26,41.24131426519038,Low,Clear
2024-10-28 04:00:00,CIDCO,24,36.97053877912223,Low,Cloudy
2024-10-28 04:00:00,Jalna Road,28,43.696009560481734,Low,Cloudy
2024-10-28 04:00:00,Seven Hills,24,26.782593003520216,Low,Clear
2024-10-28 04:00:00,Aurangpura,23,42.09647816310969,Low,Rain
2024-10-28 04:00:00,Railway Station,19,37.87714910987062,Low,Clear
2024-10-28 05:00:00,Kranti Chowk,22,58.88188536325963,Low,Rain
2024-10-28 05:00:00,CIDCO,24,46.611710396851066,Low,Foggy
2024-10-28 05:00:00,Jalna Road,24,35.4464659071785,Low,Foggy
2024-10-28 05:00:00,Seven Hills,20,58.027532954540646,Low,Rain
2024-10-28 05:00:00,Aurangpura,18,41.03343176110061,Low,Foggy
2024-10-28 05:00:00,Railway Station,21,50.59332938347731,Low,Rain
2024-10-28 06:00:00,Kranti Chowk,28,30.168028745440676,Low,Clear
2024-10-28 06:00:00,CIDCO,39,45.707674438712246,Low,Cloudy
2024-10-28 06:00:00,Jalna Road,24,21.706030788026535,Low,Cloudy
2024-10-28 06:00:00,Seven Hills,26,42.07352329363728,Low,Clear
2024-10-28 06:00:00,Aurangpura,20,37.0796315591056,Low,Cloudy
2024-10-28 06:00:00,Railway Station,38,32.83963238717282,Low,Clear
2024-10-28 07:00:00,Kranti Chowk,20,34.17345863339353,Low,Rain
2024-10-28 07:00:00,CIDCO,20,26.742104946556616,Low,Foggy
2024-10-28 07:00:00,Jalna Road,28,41.747605155546346,Low,Cloudy
2024-10-28 07:00:00,Seven Hills,22,44.30199514659022,Low,Clear
2024-10-28 07:00:00,Aurangpura,29,41.868946297327135,Low,Rain
2024-10-28 07:00:00,Railway Station,23,40.94502653424541,Low,Rain
2024-10-28 08:00:00,Kranti Chowk,57,41.65836650464337,Low,Cloudy
2024-10-28 08:00:00,CIDCO,59,43.08873636364006,Low,Clear
